Index,System Time,Time Stamp,Channel,Direction,Frame ID,Type,Format,DLC,Data
06420,="11:50:50.355",0x1160BD7,ch1,Receive,0x10F8109A,Data,Extended,0x08,x| 04 00 00 00 00 10 00 64 
06421,="11:50:50.387",0x1160CD3,ch1,Receive,0x10F8108D,Data,Extended,0x08,x| 45 04 00 00 8E 01 49 01 
06422,="11:50:50.415",0x1160DCB,ch1,Receive,0x10F8109A,Data,Extended,0x08,x| 04 00 00 00 00 10 00 64 
06423,="11:50:50.445",0x1160EC7,ch1,Receive,0x10F8108D,Data,Extended,0x08,x| 45 04 00 00 8E 01 49 01 
06424,="11:50:50.475",0x1160FBF,ch1,Receive,0x10F8109A,Data,Extended,0x08,x| 04 00 00 00 00 10 00 64 
06425,="11:50:50.475",0x11610BA,ch1,Receive,0x10F8108D,Data,Extended,0x08,x| 45 04 00 00 8E 01 49 01 
06426,="11:50:50.505",0x11610E4,ch1,Receive,0x1073C0D1,Data,Extended,0x08,x| 00 08 09 00 00 00 00 00 
06427,="11:50:50.505",0x11610EA,ch1,Receive,0x1075C0D1,Data,Extended,0x08,x| 00 00 59 00 7D 45 04 00 
06428,="11:50:50.505",0x11610F0,ch1,Receive,0x1080C0D1,Data,Extended,0x08,x| FF FF FF FF 00 FF 00 01 
06429,="11:50:50.505",0x11611B2,ch1,Receive,0x10F8109A,Data,Extended,0x08,x| 04 00 00 00 00 10 00 64 
06430,="11:50:50.535",0x11612AD,ch1,Receive,0x10F8108D,Data,Extended,0x08,x| 45 04 00 00 8D 01 49 01 
06431,="11:50:50.566",0x11613A6,ch1,Receive,0x10F8109A,Data,Extended,0x08,x| 04 00 00 00 00 10 00 64 
06432,="11:50:50.596",0x11614A1,ch1,Receive,0x10F8108D,Data,Extended,0x08,x| 45 04 00 00 8D 01 49 01 
06433,="11:50:50.596",0x1161598,ch1,Receive,0x10F8109A,Data,Extended,0x08,x| 04 00 00 00 00 10 00 64 
06434,="11:50:50.625",0x1161694,ch1,Receive,0x10F8108D,Data,Extended,0x08,x| 45 04 00 00 8E 01 49 01 
06435,="11:50:50.656",0x116178C,ch1,Receive,0x10F8109A,Data,Extended,0x08,x| 04 00 00 00 00 10 00 64 
06436,="11:50:50.685",0x1161888,ch1,Receive,0x10F8108D,Data,Extended,0x08,x| 45 04 00 00 8E 01 49 01 
06437,="11:50:50.716",0x116197F,ch1,Receive,0x10F8109A,Data,Extended,0x08,x| 04 00 00 00 00 10 00 64 
06438,="11:50:50.745",0x1161A7B,ch1,Receive,0x10F8108D,Data,Extended,0x08,x| 45 04 00 00 8E 01 49 01 
06439,="11:50:50.776",0x1161B72,ch1,Receive,0x10F8109A,Data,Extended,0x08,x| 04 00 00 00 00 10 00 64 
06440,="11:50:50.776",0x1161C6E,ch1,Receive,0x10F8108D,Data,Extended,0x08,x| 45 04 00 00 8E 01 49 01 
06441,="11:50:50.805",0x1161D67,ch1,Receive,0x10F8109A,Data,Extended,0x08,x| 04 00 00 00 00 10 00 64 
06442,="11:50:50.836",0x1161E62,ch1,Receive,0x10F8108D,Data,Extended,0x08,x| 45 04 00 00 8E 01 49 01 
06443,="11:50:50.865",0x1161F59,ch1,Receive,0x10F8109A,Data,Extended,0x08,x| 04 00 00 00 00 10 00 64 
06444,="11:50:50.896",0x1162055,ch1,Receive,0x10F8108D,Data,Extended,0x08,x| 45 04 00 00 8E 01 49 01 
06445,="11:50:50.896",0x116214E,ch1,Receive,0x10F8109A,Data,Extended,0x08,x| 06 00 00 00 00 10 00 64 
